Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
4000,1772118558279,2592,2592,2592,2592,2592,2592,2592,2592,69.5090103149414,66.46356201171875,76.88597106933594,72.01848602294922,71.21613311767578,71.02861022949219,73.74384307861328,72.44825744628906,8109.016357421875,77545.91033935547,59674.563537597656,3792.1825561523438,17070227456,7516192768,9955819520,0
4000,1772118562280,2592,2592,2592,2592,2592,2592,2592,2592,68.66078186035156,65.24308776855469,71.66871643066406,70.00907897949219,69.54234313964844,67.86624145507813,71.45598602294922,71.06678009033203,8116.449768066406,77594.93572998047,59710.22351074219,3794.41455078125,17070227456,7516192768,9990840320,0
4000,1772118566281,2592,2592,2592,2592,2592,2592,2592,2592,67.60345458984375,62.97957992553711,75.28694915771484,67.82955932617188,68.18892669677734,69.85047912597656,71.6765365600586,67.54683685302734,8123.757019042969,77643.56378173828,59745.49279785156,3796.69091796875,17070227456,7516192768,9970245632,0
4000,1772118570282,2592,2592,2592,2592,2592,2592,2592,2592,73.49790954589844,71.3460693359375,80.94190979003906,75.35273742675781,76.71453857421875,76.56546020507813,74.99821472167969,76.60897827148438,8131.24365234375,77693.26629638672,59781.93273925781,3798.83740234375,17070227456,7516192768,9964584960,0
4000,1772118574283,2592,2592,2592,2592,2592,2592,2592,2592,68.24008178710938,64.08978271484375,75.78163146972656,72.47084045410156,71.98944091796875,70.84776306152344,71.50686645507813,69.12318420410156,8138.7454833984375,77743.07666015625,59818.35821533203,3801.056884765625,17070227456,7516192768,9967161344,0
4000,1772118578284,2592,2592,2592,2592,2592,2592,2592,2592,73.02204132080078,66.38566589355469,76.58143615722656,73.04678344726563,73.14009094238281,70.86555480957031,71.87493896484375,73.22148132324219,8146.117919921875,77792.46520996094,59854.3583984375,3803.2720336914063,17070227456,7516192768,9986445312,0
4008,1772118582285,2592,2592,2592,2592,2592,2592,2592,2592,72.74866485595703,68.6192626953125,80.03343200683594,74.09892272949219,73.40127563476563,74.36310577392578,78.60342407226563,73.71538543701172,8153.597351074219,77841.21606445313,59889.53649902344,3805.532470703125,17070227456,7516192768,9986170880,0
4000,1772118586293,2592,2592,2592,2592,2592,2592,2592,2592,83.09442138671875,78.70545959472656,86.52889251708984,81.6148452758789,80.13806915283203,83.70172119140625,82.46880340576172,82.8003158569336,8161.178771972656,77889.49597167969,59924.35290527344,3807.7369995117188,17070227456,7516192768,9989505024,0
4002,1772118590294,2592,2592,2592,2592,2592,2592,2592,2592,87.11954498291016,84.45783233642578,90.97895812988281,89.43217468261719,87.78875732421875,87.82484436035156,90.77336120605469,92.91494750976563,8168.6302490234375,77937.56359863281,59959.19854736328,3809.838134765625,17070227456,7516192768,9988087808,0
4000,1772118594297,2592,2592,2592,2592,2592,2592,2592,2592,96.2341079711914,95.99162292480469,96.68171691894531,95.75230407714844,96.72013854980469,97.71257019042969,96.75875854492188,97.76409149169922,8176.160217285156,77986.63415527344,59995.15466308594,3811.8308715820313,17070227456,7516192768,10030469120,0
3999,1772118598298,2592,2592,2592,2592,2592,2592,2592,2592,75.61300659179688,69.724609375,81.94132995605469,76.4618911743164,77.47051239013672,76.19691467285156,78.82144927978516,79.41053771972656,8183.651672363281,78035.83795166016,60030.765197753906,3814.18505859375,17070227456,7516192768,10020937728,0
4000,1772118602298,2592,2592,2592,2592,2592,2592,2592,2592,69.9864501953125,67.09635925292969,74.54391479492188,72.44792938232422,73.84487915039063,71.24003601074219,74.15193176269531,75.08270263671875,8191.081115722656,78085.38848876953,60066.48565673828,3816.7430419921875,17070227456,7516192768,10014793728,0
4,1772118606299,2592,2592,2592,2592,2592,2592,2592,2592,50.8658447265625,45.37845993041992,59.894081115722656,44.50904846191406,54.89553451538086,40.143211364746094,49.318115234375,50.24643325805664,8198.794677734375,78135.97570800781,60102.57989501953,3819.6477661132813,17070227456,7516192768,9727127552,0
